Abelia chinensis;5642;Chinese Abelia;32;66;500;5000;7;40;5000;99000;32;38;26;32;288;0;0;150;185;195;295;7;9;7;9;-12;330;Abelia;chinensis;;Abelia chinensis;1358;true;0;164;false;false;Abelia rupestris;A;0;3;2;1
Abelia dielsii;9272;Abelia;32;66;500;5000;7;40;5000;99000;32;38;26;32;288;0;0;90;120;90;120;;;;;-23.5;277;Abelia;dielsii;;Abelia dielsii;3344;true;1;132;false;false;;A;1;3;2;1
Abelia dielsii 'Sherwoodii';3;Abelia;32;66;500;5000;7;30;5000;99000;32;38;26;32;288;0;0;90;120;90;120;5;9;1;9;-23.5;0;Abelia;dielsii;Sherwoodii;Abelia dielsii;3344;false;0;0;false;false;;A;2;3;2;1
Abelia floribunda;6572;Mexican Abelia;32;66;500;5000;7;40;5000;99000;32;38;26;32;288;0;0;;;;;;;;;;187;Abelia;floribunda;;Abelia floribunda;1591;true;0;132;false;false;;A;3;3;2;1
Abelia hybrids;9271;Abelia;32;66;500;5000;7;40;5000;99000;32;38;26;32;288;0;0;150;185;185;215;;;;;-12;193;Abelia;x;;Abelia hybrids;3463;true;1;132;false;false;;A;4;3;2;1
Abelia hybrids;99999;Abelia;0;0;0;0;0;4;0;0;0;6;-6;0;0;0;0;;;;;;;;;0;0;Abelia;x;;Abelia hybrids;0;false;0;0;false;true;;A;5;1;1;1
Abelia mosanensis;6573;Korean Abelia;32;66;500;5000;7;40;5000;99000;32;38;26;32;288;0;0;;;;;;;;;;107;Abelia;mosanensis;;Abelia mosanensis;1592;true;0;132;false;false;;A;6;3;2;1
Abelia schumannii;6574;Schumann's Abelia;32;66;500;5000;7;40;5000;99000;32;38;26;32;288;0;0;;;;;;;;;;62;Abelia;schumannii;;Abelia schumannii;1593;true;0;132;false;false;;A;7;3;2;1
Abelia spathulata;6575;Abelia;32;66;500;5000;7;40;5000;99000;32;38;26;32;288;0;0;;;;;;;;;;91;Abelia;spathulata;;Abelia spathulata;1594;true;0;132;false;false;;A;8;3;2;1
Abelia x 'Edward Goucher';1;Abelia;32;66;500;5000;7;40;5000;99000;32;38;26;32;288;0;0;150;185;185;215;7;9;1;9;-12;0;Abelia;x;Edward Goucher;Abelia x;3463;false;0;0;false;false;;A;9;3;2;1
Abelia x grandiflora;2;Glossy Abelia;32;66;500;5000;7;40;5000;99000;32;38;26;32;288;0;0;60;70;120;150;5;9;6;9;-23.5;85;Abelia;x grandiflora;;Abelia x grandiflora;22;true;3;164;false;false;;A;10;3;2;1
Abelia x grandiflora 'Bronze anniversary';5520;Glossy Abelia;32;66;500;5000;7;40;5000;99000;32;38;26;32;288;0;0;90;120;90;120;5;9;6;9;-23.5;0;Abelia;x grandiflora;Bronze anniversary;Abelia x grandiflora;22;false;0;0;false;false;;A;11;3;2;1
Abelia x grandiflora 'Golden anniversary';5522;Glossy Abelia;32;66;500;5000;7;40;5000;99000;32;38;26;32;288;0;0;60;70;120;150;5;9;6;9;-23.5;0;Abelia;x grandiflora;Golden anniversary;Abelia x grandiflora;22;false;0;0;false;false;;A;12;3;2;1
Abelia x grandiflora 'Silver anniversary';5523;Glossy Abelia;32;66;500;5000;7;40;5000;99000;32;38;26;32;288;0;0;60;70;120;150;5;9;6;9;-23.5;0;Abelia;x grandiflora;Silver anniversary;Abelia x grandiflora;22;false;0;0;false;false;;A;13;3;2;1
